iter	Passed	Remaining
748	1355	454
749	1357	452
750	1359	450
751	1360	448
752	1362	446
753	1364	445
754	1365	443
755	1367	441
756	1369	439
757	1370	437
758	1372	435
759	1373	433
760	1375	431
761	1376	430
762	1378	428
763	1380	426
764	1381	424
765	1383	422
766	1384	420
767	1386	418
768	1387	416
769	1389	415
770	1391	413
771	1392	411
772	1394	409
773	1395	407
774	1397	405
775	1399	403
776	1400	402
777	1402	400
778	1403	398
779	1405	396
780	1407	394
781	1408	392
782	1410	390
783	1412	389
784	1413	387
785	1415	385
786	1416	383
787	1418	381
788	1419	379
789	1421	377
790	1422	375
791	1424	374
792	1426	372
793	1427	370
794	1429	368
795	1430	366
796	1432	364
797	1434	363
798	1435	361
799	1437	359
800	1439	357
801	1440	355
802	1442	353
803	1443	351
804	1445	350
805	1446	348
806	1448	346
807	1450	344
808	1451	342
809	1453	340
810	1454	339
811	1456	337
812	1458	335
813	1459	333
814	1461	331
815	1463	329
816	1464	328
817	1466	326
818	1467	324
819	1469	322
820	1470	320
821	1472	318
822	1474	317
823	1475	315
824	1477	313
825	1478	311
826	1480	309
827	1481	307
828	1483	305
829	1484	304
830	1486	302
831	1487	300
832	1489	298
833	1490	296
834	1492	294
835	1494	293
836	1495	291
837	1497	289
838	1498	287
839	1500	285
840	1502	284
841	1504	282
842	1505	280
843	1507	278
844	1509	276
845	1511	275
846	1512	273
847	1514	271
848	1516	269
849	1517	267
850	1519	266
851	1521	264
852	1522	262
853	1524	260
854	1526	258
855	1527	256
856	1529	255
857	1531	253
858	1532	251
859	1534	249
860	1535	247
861	1537	246
862	1539	244
863	1540	242
864	1542	240
865	1543	238
866	1545	237
867	1547	235
868	1548	233
869	1550	231
870	1551	229
871	1553	228
872	1554	226
873	1556	224
874	1558	222
875	1559	220
876	1561	218
877	1562	217
878	1564	215
879	1566	213
880	1567	211
881	1569	209
882	1570	208
883	1572	206
884	1574	204
885	1575	202
886	1577	200
887	1578	199
888	1580	197
889	1582	195
890	1583	193
891	1585	191
892	1586	190
893	1588	188
894	1590	186
895	1591	184
896	1593	182
897	1594	181
898	1596	179
899	1598	177
900	1599	175
901	1601	174
902	1603	172
903	1604	170
904	1606	168
905	1608	166
906	1609	165
907	1611	163
908	1612	161
909	1614	159
910	1616	157
911	1618	156
912	1619	154
913	1621	152
914	1622	150
915	1624	148
916	1626	147
917	1627	145
918	1629	143
919	1631	141
920	1632	140
921	1634	138
922	1636	136
923	1637	134
924	1639	132
925	1640	131
926	1642	129
927	1644	127
928	1645	125
929	1647	123
930	1648	122
931	1650	120
932	1652	118
933	1653	116
934	1655	115
935	1656	113
936	1658	111
937	1660	109
938	1661	107
939	1663	106
940	1665	104
941	1666	102
942	1668	100
943	1669	99
944	1671	97
945	1673	95
946	1675	93
947	1676	91
948	1678	90
949	1680	88
950	1681	86
951	1683	84
952	1684	83
953	1686	81
954	1688	79
955	1689	77
956	1691	75
957	1692	74
958	1694	72
959	1696	70
960	1697	68
961	1699	67
962	1701	65
963	1702	63
964	1704	61
965	1706	60
966	1707	58
967	1709	56
968	1711	54
969	1712	52
970	1714	51
971	1716	49
972	1717	47
973	1719	45
974	1720	44
975	1722	42
976	1724	40
977	1725	38
978	1727	37
979	1728	35
980	1730	33
981	1732	31
982	1733	29
983	1735	28
984	1736	26
985	1738	24
986	1740	22
987	1741	21
988	1743	19
989	1744	17
990	1746	15
991	1748	14
992	1749	12
993	1751	10
994	1753	8
995	1754	7
996	1756	5
997	1757	3
998	1759	1
999	1761	0
